laptop_id,company,product,typename,inches,ram(GB),opsys,weight(kg),price_euros,touchscreen,resolution,cpu_speed(GHz),cpu_brand,gpu_brand,memory_1_sto(GB),memory_1_type,memory_2_sto(GB),memory_2_type
27,Apple,MacBook Air,Ultrabook,13.3,8.0,Mac OS X,1.35,1099.0,0,1440x900,1.6,Intel,Intel,128.0,FlashStorage,0.0,NaN
28,Dell,Inspiron 5570,Notebook,15.6,8.0,Windows 10,2.2,800.0,0,1920x1080,1.6,Intel,AMD,256.0,SSD,0.0,NaN
29,Dell,Latitude 5590,Ultrabook,15.6,8.0,Windows 10,1.88,1298.0,0,1920x1080,1.9,Intel,Intel,256.0,SSD,256.0,SSD
30,HP,ProBook 470,Notebook,17.3,8.0,Windows 10,2.5,896.0,0,1920x1080,1.6,Intel,Nvidia,1000.0,HDD,0.0,NaN
31,Chuwi,"LapBook 15.6""",Notebook,15.6,4.0,Windows 10,1.89,244.99,0,1920x1080,1.44,Intel,Intel,64.0,FlashStorage,0.0,NaN
32,Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14.0,2.0,Windows 10,1.65,199.0,0,1366x768,1.5,AMD,AMD,32.0,FlashStorage,0.0,NaN
33,HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,4.0,Windows 10,2.71,439.0,0,1920x1080,2.5,AMD,AMD,500.0,HDD,0.0,NaN
34,Dell,XPS 13,Ultrabook,13.3,16.0,Windows 10,1.2,1869.0,1,3200x1800,1.8,Intel,Intel,512.0,SSD,0.0,NaN
35,Apple,MacBook Air,Ultrabook,13.3,8.0,Mac OS X,1.35,998.0,0,1440x900,1.6,Intel,Intel,256.0,FlashStorage,0.0,NaN
36,Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,4.0,Windows 10,1.44,249.0,0,1366x768,1.1,Intel,Intel,64.0,FlashStorage,0.0,NaN
37,Acer,Aspire 3,Notebook,15.6,4.0,Linux,2.1,367.0,0,1366x768,2.7,Intel,Intel,1000.0,HDD,0.0,NaN
38,Dell,Inspiron 5770,Notebook,17.3,8.0,Windows 10,2.8,979.0,0,1920x1080,1.6,Intel,AMD,128.0,SSD,1000.0,HDD
39,HP,250 G6,Notebook,15.6,4.0,Windows 10,1.86,488.69,0,1366x768,2.5,Intel,Intel,1000.0,HDD,0.0,NaN
40,HP,ProBook 450,Notebook,15.6,8.0,Windows 10,2.1,879.0,0,1920x1080,1.6,Intel,Nvidia,256.0,SSD,0.0,NaN
41,Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,4.0,Linux,2.0,389.0,0,1920x1080,2.0,Intel,Intel,1000.0,HDD,0.0,NaN
42,Dell,Inspiron 7577,Gaming,15.6,16.0,Windows 10,2.65,1499.0,0,1920x1080,2.8,Intel,Nvidia,256.0,SSD,1000.0,HDD
43,Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,8.0,Linux,2.3,522.99,0,1366x768,2.5,Intel,Nvidia,1000.0,HDD,0.0,NaN
44,Acer,Aspire A515-51G,Notebook,15.6,4.0,Windows 10,2.2,682.0,0,1920x1080,1.6,Intel,Intel,256.0,SSD,0.0,NaN
45,Dell,Inspiron 7773,2 in 1 Convertible,17.3,12.0,Windows 10,2.77,999.0,1,1920x1080,1.6,Intel,Nvidia,1000.0,HDD,0.0,NaN
46,Apple,MacBook Pro,Ultrabook,13.3,8.0,macOS,1.37,1419.0,0,2560x1600,2.0,Intel,Intel,256.0,SSD,0.0,NaN
47,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,4.0,Windows 10,2.2,369.0,0,1366x768,2.0,Intel,Intel,128.0,SSD,0.0,NaN
48,Asus,Rog Strix,Gaming,17.3,8.0,Windows 10,3.2,1299.0,0,1920x1080,3.0,AMD,AMD,256.0,SSD,1000.0,HDD
49,Dell,Inspiron 3567,Notebook,15.6,4.0,Windows 10,2.3,639.0,0,1920x1080,2.5,Intel,AMD,256.0,SSD,0.0,NaN
50,Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,17.3,4.0,Windows 10,2.8,466.0,0,1366x768,1.1,Intel,Nvidia,1000.0,HDD,0.0,NaN
51,Lenovo,Yoga Book,2 in 1 Convertible,10.1,4.0,Android,0.69,319.0,1,1920x1200,1.44,Intel,Intel,64.0,FlashStorage,0.0,NaN
52,Acer,Aspire A515-51G,Notebook,15.6,8.0,Windows 10,2.2,841.0,0,1920x1080,1.8,Intel,Nvidia,256.0,SSD,0.0,NaN
53,HP,255 G6,Notebook,15.6,4.0,Windows 10,1.86,398.49,0,1920x1080,2.5,AMD,AMD,256.0,SSD,0.0,NaN
54,HP,ProBook 430,Notebook,13.3,8.0,Windows 10,1.49,1103.0,0,1920x1080,1.8,Intel,Intel,512.0,SSD,0.0,NaN
55,Acer,Aspire 3,Notebook,15.6,4.0,Windows 10,2.4,384.0,0,1366x768,2.4,Intel,Intel,1000.0,HDD,0.0,NaN
56,Dell,Inspiron 3576,Notebook,15.6,8.0,Windows 10,2.13,767.8,0,1920x1080,1.8,Intel,AMD,256.0,SSD,0.0,NaN
57,HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,4.0,Windows 10,1.91,439.0,0,1920x1080,2.0,Intel,Intel,128.0,SSD,0.0,NaN
58,Asus,VivoBook Max,Notebook,15.6,4.0,Windows 10,2.0,586.19,0,1366x768,2.5,Intel,Intel,256.0,SSD,0.0,NaN
59,MSI,GS73VR 7RG,Gaming,17.3,16.0,Windows 10,2.43,2449.0,0,1920x1080,2.8,Intel,Nvidia,256.0,SSD,2000.0,HDD
60,Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,4.0,Linux,2.0,415.0,0,1920x1080,2.0,Intel,Intel,256.0,SSD,0.0,NaN
61,Dell,Inspiron 5770,Notebook,17.3,16.0,Windows 10,2.8,1299.0,0,1920x1080,1.8,Intel,AMD,256.0,SSD,2000.0,HDD
62,Dell,Vostro 5471,Ultrabook,14.0,8.0,Windows 10,1.7,879.0,0,1920x1080,1.6,Intel,Intel,256.0,SSD,0.0,NaN
63,Lenovo,IdeaPad 520S-14IKB,Notebook,14.0,8.0,Windows 10,1.7,599.0,0,1920x1080,2.7,Intel,Intel,256.0,SSD,0.0,NaN
64,Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14.0,8.0,Windows 10,1.4,941.0,0,1920x1080,1.6,Intel,Intel,256.0,SSD,0.0,NaN
66,HP,250 G6,Notebook,15.6,8.0,Windows 10,1.86,690.0,0,1920x1080,2.5,Intel,Intel,256.0,SSD,0.0,NaN
67,Asus,ZenBook Pro,Ultrabook,15.6,16.0,Windows 10,1.8,1983.0,0,1920x1080,2.8,Intel,Nvidia,512.0,SSD,0.0,NaN
68,HP,250 G6,Notebook,15.6,4.0,Windows 10,1.86,438.69,0,1366x768,2.0,Intel,AMD,500.0,HDD,0.0,NaN
69,HP,Stream 14-AX040wm,Notebook,14.0,4.0,Windows 10,1.44,229.0,0,1366x768,1.6,Intel,Intel,32.0,SSD,0.0,NaN
70,Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,4.0,Windows 10,1.9,549.0,0,1920x1080,2.5,Intel,Intel,1000.0,HDD,0.0,NaN
71,Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,12.0,Linux,3.0,949.0,0,1920x1080,2.8,Intel,Nvidia,1000.0,HDD,0.0,NaN
72,Microsoft,Surface Laptop,Ultrabook,13.5,4.0,Windows 10 S,1.252,1089.0,1,2256x1504,2.5,Intel,Intel,128.0,SSD,0.0,NaN
73,Dell,Inspiron 5370,Ultrabook,13.3,8.0,Windows 10,1.4,955.0,0,1920x1080,1.8,Intel,AMD,256.0,SSD,0.0,NaN
74,Dell,Inspiron 5570,Notebook,15.6,8.0,Windows 10,2.2,870.0,0,1920x1080,1.8,Intel,AMD,256.0,SSD,0.0,NaN
75,MSI,GL72M 7RDX,Gaming,17.3,8.0,Windows 10,2.7,1095.0,0,1920x1080,2.5,Intel,Nvidia,128.0,SSD,1000.0,HDD
76,Acer,Aspire E5-475,Notebook,14.0,8.0,Windows 10,2.1,389.0,0,1366x768,2.0,Intel,Intel,1000.0,HDD,0.0,NaN
77,Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,8.0,Windows 10,2.2,949.0,0,1920x1080,2.8,Intel,Nvidia,1000.0,HDD,0.0,NaN
78,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,8.0,Windows 10,2.2,519.0,0,1920x1080,2.5,Intel,Intel,2000.0,HDD,0.0,NaN
79,Dell,Inspiron 5570,Notebook,15.6,8.0,Windows 10,2.02,855.0,0,1920x1080,1.8,Intel,Intel,128.0,SSD,1000.0,HDD
80,Acer,Aspire A515-51G-32MX,Notebook,15.6,4.0,Windows 10,2.2,530.0,0,1920x1080,2.7,Intel,Nvidia,1000.0,HDD,0.0,NaN
81,HP,ProBook 470,Notebook,17.3,8.0,Windows 10,2.5,977.0,0,1920x1080,1.6,Intel,Nvidia,128.0,SSD,1000.0,HDD
82,Dell,Latitude 5590,Ultrabook,15.6,8.0,Windows 10,1.88,1096.16,0,1920x1080,1.6,Intel,Intel,256.0,SSD,0.0,NaN
83,Apple,"MacBook 12""",Ultrabook,12.0,8.0,macOS,0.92,1510.0,0,2304x1440,1.3,Intel,Intel,512.0,SSD,0.0,NaN
84,HP,ProBook 440,Notebook,14.0,8.0,Windows 10,1.63,860.0,0,1920x1080,1.6,Intel,Intel,256.0,SSD,0.0,NaN
85,Lenovo,IdeaPad 320-15AST,Notebook,15.6,4.0,Windows 10,2.2,399.0,0,1920x1080,2.5,AMD,AMD,128.0,SSD,0.0,NaN
86,Acer,Aspire 3,Notebook,15.6,4.0,Windows 10,2.1,395.0,0,1366x768,3.0,AMD,AMD,1000.0,HDD,0.0,NaN
87,Dell,Inspiron 7577,Gaming,15.6,16.0,Windows 10,2.65,1349.0,0,1920x1080,2.8,Intel,Nvidia,128.0,SSD,1000.0,HDD
88,HP,Pavilion 15-CK000nv,Ultrabook,15.6,8.0,Windows 10,1.83,699.0,0,1920x1080,1.8,Intel,Nvidia,256.0,SSD,0.0,NaN
89,HP,250 G6,Notebook,15.6,8.0,Windows 10,1.96,598.99,0,1920x1080,2.5,Intel,Intel,256.0,SSD,0.0,NaN
90,Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.6,16.0,Windows 10,2.2,1449.0,0,1920x1080,2.8,Intel,Nvidia,128.0,SSD,1000.0,HDD
91,Dell,XPS 13,Ultrabook,13.3,8.0,Windows 10,1.21,1649.0,0,1920x1080,1.8,Intel,Intel,256.0,SSD,0.0,NaN
92,Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,15.6,8.0,Windows 10,2.45,699.0,0,1920x1080,3.0,AMD,AMD,1000.0,HDD,0.0,NaN
93,Acer,Aspire 5,Notebook,15.6,8.0,Windows 10,2.2,689.0,0,1920x1080,1.8,Intel,Nvidia,1000.0,HDD,0.0,NaN
94,HP,Probook 430,Notebook,13.3,16.0,Windows 10,1.49,1197.0,0,1920x1080,1.8,Intel,Intel,512.0,SSD,0.0,NaN
95,Dell,Inspiron 7577,Gaming,15.6,8.0,Windows 10,2.65,1195.0,0,1920x1080,2.5,Intel,Nvidia,256.0,SSD,0.0,NaN
96,Asus,Zenbook UX430UA,Ultrabook,14.0,8.0,Windows 10,1.25,1049.0,0,1920x1080,2.7,Intel,Intel,256.0,SSD,0.0,NaN
97,Acer,Spin 5,2 in 1 Convertible,13.3,8.0,Windows 10,1.5,847.0,1,1920x1080,1.6,Intel,Intel,256.0,SSD,0.0,NaN
98,Dell,Inspiron 3567,Notebook,15.6,8.0,Linux,2.2,599.9,0,1920x1080,2.7,Intel,AMD,1000.0,HDD,0.0,NaN
99,Dell,Inspiron 3567,Notebook,15.6,4.0,Linux,2.2,485.0,0,1920x1080,2.0,Intel,AMD,256.0,SSD,0.0,NaN
100,Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,15.6,6.0,Windows 10,2.0,577.0,0,1920x1080,2.4,Intel,Nvidia,256.0,SSD,0.0,NaN
102,HP,Omen 15-ce007nv,Gaming,15.6,12.0,Windows 10,2.62,1249.0,0,1920x1080,2.8,Intel,Nvidia,128.0,SSD,1000.0,HDD
103,HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,15.6,8.0,Windows 10,1.91,719.0,0,1920x1080,2.7,Intel,AMD,256.0,SSD,0.0,NaN
104,HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,15.6,4.0,Windows 10,2.1,349.0,0,1920x1080,1.5,AMD,AMD,500.0,HDD,0.0,NaN
105,Dell,Inspiron 3576,Notebook,15.6,8.0,Linux,2.2,647.0,0,1920x1080,1.6,Intel,AMD,1000.0,HDD,0.0,NaN
106,HP,Envy 13-ad009n,Ultrabook,13.3,8.0,Windows 10,1.38,1119.0,0,1920x1080,2.7,Intel,Nvidia,256.0,SSD,0.0,NaN
107,Microsoft,Surface Laptop,Ultrabook,13.5,8.0,Windows 10 S,1.252,1340.0,1,2256x1504,2.5,Intel,Intel,256.0,SSD,0.0,NaN
108,HP,Pavilion 14-BK001nv,Notebook,14.0,6.0,Windows 10,1.58,659.0,0,1920x1080,2.5,Intel,Nvidia,256.0,SSD,0.0,NaN
109,Lenovo,Ideapad 310-15ISK,Notebook,15.6,4.0,Windows 10,1.85,414.9,0,1920x1080,2.0,Intel,Intel,1000.0,HDD,0.0,NaN
110,Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14.0,8.0,Windows 10,1.3,1193.0,0,1920x1080,2.7,Intel,Nvidia,256.0,SSD,0.0,NaN
111,MSI,GP62M 7REX,Gaming,15.6,16.0,Windows 10,2.2,1299.0,0,1920x1080,2.8,Intel,Nvidia,256.0,SSD,1000.0,HDD
112,Lenovo,Thinkpad T470,Notebook,14.0,8.0,Windows 10,1.58,1480.0,0,1920x1080,2.7,Intel,Intel,256.0,SSD,0.0,NaN
113,Asus,VivoBook S15,Ultrabook,15.6,16.0,Windows 10,1.5,1262.0,0,1920x1080,1.8,Intel,Nvidia,256.0,SSD,1000.0,HDD
114,Dell,XPS 13,Ultrabook,13.3,8.0,Windows 10,1.23,1379.0,1,3200x1800,2.4,Intel,Intel,256.0,SSD,0.0,NaN
115,Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,8.0,Windows 10,1.37,1399.0,1,1920x1080,2.5,Intel,Intel,256.0,SSD,0.0,NaN
116,HP,Probook 440,Notebook,14.0,4.0,Windows 10,1.63,722.0,0,1366x768,1.6,Intel,Intel,500.0,HDD,0.0,NaN
117,Dell,XPS 13,Ultrabook,13.3,8.0,Windows 10,1.21,1629.0,0,1920x1080,1.6,Intel,Intel,256.0,SSD,0.0,NaN
118,HP,Spectre x360,2 in 1 Convertible,13.3,8.0,Windows 10,1.26,1398.99,1,1920x1080,1.6,Intel,Intel,256.0,SSD,0.0,NaN
119,HP,Probook 440,Notebook,14.0,8.0,Windows 10,1.63,1084.0,0,1920x1080,1.8,Intel,Intel,512.0,SSD,0.0,NaN
120,Dell,Inspiron 7570,Notebook,15.6,8.0,Windows 10,2.16,1130.33,0,1920x1080,1.8,Intel,Nvidia,256.0,SSD,1000.0,HDD
121,Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,17.3,4.0,Windows 10,2.0,564.0,0,1920x1080,2.0,Intel,Nvidia,1000.0,HDD,0.0,NaN
122,Asus,VivoBook S15,Notebook,15.6,8.0,Windows 10,1.7,1118.0,0,1920x1080,1.8,Intel,Nvidia,256.0,SSD,0.0,NaN
123,Acer,Spin 3,Notebook,15.6,6.0,Windows 10,2.1,479.0,1,1920x1080,2.4,Intel,Intel,1000.0,HDD,0.0,NaN
124,MSI,GS63VR 7RG,Gaming,15.6,16.0,Windows 10,1.8,2241.5,0,1920x1080,2.8,Intel,Nvidia,256.0,SSD,2000.0,HDD
125,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,8.0,Windows 10,2.2,629.0,0,1920x1080,2.5,Intel,Nvidia,256.0,SSD,0.0,NaN
126,HP,Probook 470,Notebook,17.3,16.0,Windows 10,2.5,1271.0,0,1920x1080,1.8,Intel,Nvidia,512.0,SSD,0.0,NaN
127,Acer,Aspire 3,Notebook,15.6,4.0,Windows 10,2.1,451.0,0,1366x768,3.0,AMD,AMD,256.0,SSD,0.0,NaN
128,HP,250 G6,Notebook,15.6,4.0,Windows 10,1.86,259.0,0,1366x768,1.6,Intel,Intel,500.0,HDD,0.0,NaN
129,HP,Probook 440,Notebook,14.0,8.0,Windows 10,1.63,812.0,0,1920x1080,1.6,Intel,Intel,1000.0,HDD,0.0,NaN
130,Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,Notebook,14.0,4.0,Windows 10 S,1.65,277.99,0,1366x768,1.5,AMD,AMD,64.0,SSD,0.0,NaN
131,Dell,Inspiron 5770,Notebook,17.3,16.0,Windows 10,2.8,1396.0,0,1920x1080,1.8,Intel,AMD,256.0,SSD,2000.0,HDD
132,HP,ProBook 470,Notebook,17.3,8.0,Windows 10,2.5,928.0,0,1920x1080,1.6,Intel,Intel,256.0,SSD,0.0,NaN
133,Dell,Inspiron 5567,Notebook,15.6,8.0,Windows 10,2.36,638.99,0,1366x768,2.5,Intel,AMD,1000.0,HDD,0.0,NaN
134,Dell,Inspiron 3567,Notebook,15.6,4.0,Windows 10,2.2,449.0,0,1920x1080,2.0,Intel,AMD,1000.0,HDD,0.0,NaN
135,Acer,Swift 3,Ultrabook,14.0,8.0,Windows 10,1.6,884.0,0,1920x1080,1.8,Intel,Intel,256.0,SSD,0.0,NaN
136,Acer,Aspire A515-51G-37JS,Notebook,15.6,4.0,Windows 10,2.2,572.0,0,1920x1080,2.7,Intel,Nvidia,256.0,SSD,0.0,NaN
137,HP,15-BS078nr (i7-7500U/8GB/1TB/W10),Notebook,15.6,8.0,Windows 10,2.05,598.0,0,1366x768,2.7,Intel,Intel,1000.0,HDD,0.0,NaN
138,HP,Probook 440,Notebook,14.0,8.0,Windows 10,1.63,988.0,0,1920x1080,1.8,Intel,Intel,256.0,SSD,0.0,NaN
139,Lenovo,V110-15IAP (N3350/4GB/1TB/No,Notebook,15.6,4.0,Windows 10,1.9,252.36,0,1366x768,1.1,Intel,Intel,1000.0,HDD,0.0,NaN
140,Asus,FX753VD-GC086T (i5-7300HQ/8GB/1TB,Gaming,17.3,8.0,Windows 10,3.0,938.0,0,1920x1080,2.5,Intel,Nvidia,128.0,SSD,1000.0,HDD
141,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,4.0,Windows 10,2.2,499.0,0,1920x1080,2.5,Intel,Nvidia,1000.0,HDD,0.0,NaN
142,HP,Envy 13-AD007nv,Notebook,13.3,4.0,Windows 10,1.32,699.0,0,1920x1080,2.5,Intel,Intel,256.0,SSD,0.0,NaN
143,Acer,Aspire 5,Notebook,17.3,4.0,Windows 10,3.0,655.0,0,1920x1080,2.7,Intel,Nvidia,1000.0,HDD,0.0,NaN
144,Lenovo,ThinkPad E480,Notebook,14.0,8.0,Windows 10,1.75,1116.02,0,1920x1080,1.6,Intel,AMD,256.0,SSD,0.0,NaN
145,Lenovo,Legion Y520-15IKBN,Gaming,15.6,8.0,Windows 10,2.4,869.0,0,1920x1080,2.8,Intel,Nvidia,256.0,SSD,0.0,NaN
146,Toshiba,Satellite Pro,Notebook,15.6,4.0,Windows 10,2.1,602.0,0,1366x768,2.3,Intel,Intel,500.0,HDD,0.0,NaN
147,HP,255 G6,Notebook,15.6,4.0,Windows 10,1.86,369.0,0,1366x768,2.5,AMD,AMD,256.0,SSD,0.0,NaN
148,Asus,ZenBook UX430UA,Ultrabook,14.0,8.0,Windows 10,1.25,1099.0,0,1920x1080,1.8,Intel,Intel,256.0,SSD,0.0,NaN
149,HP,EliteBook Folio,Ultrabook,12.5,8.0,Windows 10,0.97,2014.0,1,3840x2160,1.2,Intel,Intel,512.0,SSD,0.0,NaN
150,Asus,X541NA (N3350/4GB/1TB/FHD/W10),Notebook,15.6,4.0,Windows 10,2.0,344.0,0,1920x1080,1.1,Intel,Intel,1000.0,HDD,0.0,NaN
151,MSI,GE72MVR 7RG,Gaming,17.3,16.0,Windows 10,2.9,2029.0,0,1920x1080,2.8,Intel,Nvidia,256.0,SSD,1000.0,HDD
152,Acer,Aspire A315-51,Notebook,15.6,4.0,Windows 10,2.1,447.0,0,1366x768,2.0,Intel,Intel,1000.0,HDD,0.0,NaN
153,Dell,Inspiron 5577,Gaming,15.6,16.0,Windows 10,2.56,1249.26,0,1920x1080,2.8,Intel,Nvidia,512.0,SSD,0.0,NaN
154,Dell,Inspiron 7567,Gaming,15.6,8.0,Windows 10,2.62,899.0,0,1920x1080,2.8,Intel,Nvidia,1000.0,Hybrid,0.0,NaN
155,Lenovo,V110-15IKB (i5-7200U/4GB/128GB/W10),Notebook,15.6,4.0,Windows 10,1.9,498.0,0,1366x768,2.5,Intel,Intel,128.0,SSD,0.0,NaN
156,MSI,GE73VR 7RE,Gaming,17.3,16.0,Windows 10,2.8,1890.0,0,1920x1080,2.8,Intel,Nvidia,256.0,SSD,1000.0,HDD
157,HP,EliteBook 840,Ultrabook,14.0,4.0,Windows 10,1.48,1082.0,0,1920x1080,2.7,Intel,Intel,256.0,SSD,0.0,NaN
158,HP,15-BS103nv (i5-8250U/6GB/256GB/Radeon,Notebook,15.6,6.0,Windows 10,1.91,619.0,0,1920x1080,1.6,Intel,AMD,256.0,SSD,0.0,NaN
159,Lenovo,Yoga 520-14IKB,2 in 1 Convertible,14.0,4.0,Windows 10,1.74,629.0,1,1920x1080,2.4,Intel,Intel,256.0,SSD,0.0,NaN
160,Asus,ZenBook Flip,2 in 1 Convertible,13.3,8.0,Windows 10,1.1,1315.0,1,1920x1080,1.6,Intel,Intel,256.0,SSD,0.0,NaN
161,Dell,Inspiron 5579,2 in 1 Convertible,15.6,8.0,Windows 10,1.56,1049.0,1,1920x1080,1.8,Intel,Intel,256.0,SSD,0.0,NaN
163,Toshiba,Satellite Pro,Notebook,15.6,4.0,Windows 10,2.1,447.0,0,1366x768,2.2,Intel,Intel,500.0,HDD,0.0,NaN
164,Asus,X555BP-XX180T (A9-9420/4GB/1TB/Radeon,Notebook,15.6,4.0,Windows 10,2.03,403.0,0,1366x768,3.0,AMD,AMD,1000.0,HDD,0.0,NaN
165,Acer,Aspire A517-51G,Notebook,17.3,4.0,Windows 10,3.0,805.0,0,1920x1080,1.6,Intel,Nvidia,256.0,SSD,0.0,NaN
166,Dell,Inspiron 3576,Notebook,15.6,8.0,Windows 10,2.13,728.0,0,1920x1080,1.6,Intel,AMD,256.0,SSD,0.0,NaN
167,Lenovo,Legion Y520-15IKBN,Gaming,15.6,16.0,Windows 10,2.5,1079.0,0,1920x1080,2.8,Intel,Nvidia,256.0,SSD,0.0,NaN
168,Acer,Aspire A315-31,Notebook,15.6,4.0,Windows 10,2.1,348.0,0,1366x768,1.1,Intel,Intel,1000.0,HDD,0.0,NaN
169,MSI,GE63VR 7RE,Gaming,15.6,16.0,Windows 10,2.4,1799.0,0,1920x1080,2.8,Intel,Nvidia,256.0,SSD,1000.0,HDD
